content,sentiment,sentiment_score,like_count,sub_comment_count,content_len,create_time,topics,segments
自律打卡第100天，从一个摆烂的人变成现在的自己，感谢那个没放弃的我,neutral,1.0,0.0,0.0,34,1778668357928.0,自律与习惯,习惯崩盘型
有没有人一起打卡互相监督，一个人真的坚持不下去,positive,2.6,0.0,0.0,23,1777742954599.0,"自律与习惯,教练方法与关系",习惯崩盘型
允许自己做自己，允许别人做别人,positive,2.0,0.0,0.0,15,1779539782331.0,自我接纳与成长,
习惯养成真的好难，前21天简直要命，但熬过去就好了,positive,3.2,0.0,20.0,25,1779692035785.0,自律与习惯,习惯崩盘型
有没有性价比高的教练推荐，想要被监督又不想花太多钱 同感,neutral,1.0,100.0,0.0,28,1784571051976.0,"价值与价格,教练方法与关系",教练学习者
找一个搭子一起自律真的很重要，互相监督比一个人坚持容易太多了,positive,3.2,1.0,0.0,30,1778068490398.0,"自律与习惯,教练方法与关系",
遇到了一个很好的教练，她总是不评判我，只是耐心地听我说然后问我问题,positive,1.6,3.0,20.0,33,1782060068064.0,教练方法与关系,教练学习者
习惯养成真的好难，前21天简直要命，但熬过去就好了,positive,3.2,1.0,0.0,25,1784476496076.0,自律与习惯,习惯崩盘型
25岁之后开始觉醒，原来爱自己才是所有改变的基础,positive,3.0,1.0,2.0,24,1781864434587.0,"拖延与行动障碍,自我接纳与成长",积极成长型
有没有好用的目标管理工具推荐，想要一个能每天提醒我的,positive,2.0,1.0,0.0,26,1780393955957.0,"目标与计划,效率与工具,自律与习惯",方向迷茫型
自律不是靠意志力，是靠环境和习惯，把目标融入日常,positive,3.0,3.0,2.0,24,1783024103055.0,"自律与习惯,目标与计划","习惯崩盘型,方向迷茫型"
允许自己停下来也是一种能力，我花了很久才学会,neutral,1.3,50.0,0.0,22,1780235467527.0,自我接纳与成长,
人的改变真的是从接纳开始的，越抗拒越痛苦 同感,positive,2.6,0.0,1.0,23,1781373904382.0,"自我接纳与成长,拖延与行动障碍",积极成长型
一个好的coach真的能改变你的人生轨迹，感恩,positive,3.2,0.0,1.0,23,1783741137627.0,"教练方法与关系,自我接纳与成长","积极成长型,教练学习者"
如果有一个AI教练每天在微信里提醒我打卡，我愿意付费,neutral,1.0,1.0,1.0,26,1782236092967.0,"教练方法与关系,自律与习惯,价值与价格","习惯崩盘型,教练学习者"
从年目标倒推到日计划，这个方法帮我实现了年度flag,positive,2.0,3.0,0.0,26,1782956848951.0,"目标与计划,效率与工具","方向迷茫型,教练学习者"
内耗的本质是自我攻击，学会对自己温柔一点 加油,neutral,0.0,0.0,0.0,23,1782837308265.0,情绪与内耗,情绪内耗型
做计划的时候激情满满，执行的时候各种理由推脱，我太难了,neutral,0.0,20.0,1.0,27,1782723547472.0,目标与计划,
有没有人一起打卡互相监督，一个人真的坚持不下去 同感,positive,2.6,50.0,1.0,26,1779521646380.0,"自律与习惯,教练方法与关系",习惯崩盘型
我也总是拖延，看了很多方法都没用，感觉需要有人盯着我才能动起来,negative,-2.0,0.0,3.0,31,1777799380854.0,"拖延与行动障碍,效率与工具","拖延挣扎型,教练学习者"
